ID,Nombre,Dirección,Código postal,Ciudad,Provincia,País,Dirección completa,Consulta geocodificación,Latitud,Longitud,Observaciones
1,MARINAJETS SL / CALABAS STYLE (500101),C/Padre Recaredo de los Rios 57 esc 4 5ºD,03005,ALICANTE,Alicante,España,"C/Padre Recaredo de los Rios 57 esc 4 5ºD, 03005 ALICANTE, Alicante, España","C/Padre Recaredo de los Rios 57 esc 4 5ºD, 03005 ALICANTE, Alicante, España",,,Dirección Fiscal:
2,METROPOL NÁUTICAS DENIA,Partida Madrigueres Sur 9B,03700,DENIA,Alicante,España,"Partida Madrigueres Sur 9B, 03700 DENIA, Alicante, España","Partida Madrigueres Sur 9B, 03700 DENIA, Alicante, España",,,
3,NÁUTICA FORNÉS,"Ctra. Valencia-Alicante, km 196,2",03750,PEDREGUER,Alicante,España,"Ctra. Valencia-Alicante, km 196,2, 03750 PEDREGUER, Alicante, España","Ctra. Valencia-Alicante, km 196,2, 03750 PEDREGUER, Alicante, España",,,
4,NÁUTICA HORADADA,"C/ Clara Campoamor,Nave 3",03190,PILAR DE LA HORADADA,Alicante,España,"C/ Clara Campoamor,Nave 3, 03190 PILAR DE LA HORADADA, Alicante, España","C/ Clara Campoamor,Nave 3, 03190 PILAR DE LA HORADADA, Alicante, España",,,
5,"NÁUTICA JÁVEA  / (JUAN GAYA E HIJOS, S.L.)","Calle Liverpool, Nº 8",03730,JÁVEA,Alicante,España,"Calle Liverpool, Nº 8, 03730 JÁVEA, Alicante, España","Calle Liverpool, Nº 8, 03730 JÁVEA, Alicante, España",,,
6,NÁUTICA MARINA ALTA,"AVENIDA METALURGIA 5B, POLÍGONO INDUSTRIAL LES GALGUES",03750,PEDREGUER,Alicante,España,"AVENIDA METALURGIA 5B, POLÍGONO INDUSTRIAL LES GALGUES, 03750 PEDREGUER, Alicante, España","AVENIDA METALURGIA 5B, POLÍGONO INDUSTRIAL LES GALGUES, 03750 PEDREGUER, Alicante, España",,,
7,NÁUTICA MESTRE,"Avda. Diputación, 27",03710,CALP,Alicante,España,"Avda. Diputación, 27, 03710 CALP, Alicante, España","Avda. Diputación, 27, 03710 CALP, Alicante, España",,,
8,NÁUTICA PÉREZ,"Ctra. Las Marinas, 203 (Nova Dénia)",03700,DENIA,Alicante,España,"Ctra. Las Marinas, 203 (Nova Dénia), 03700 DENIA, Alicante, España","Ctra. Las Marinas, 203 (Nova Dénia), 03700 DENIA, Alicante, España",,,
9,NAUTICAMPELLO / (NAUTICA SANDBERG COPP.V.),"Paraje de la Illeta S/N Local 14, Club Náutico Campello",03560,EL CAMPELLO,Alicante,España,"Paraje de la Illeta S/N Local 14, Club Náutico Campello, 03560 EL CAMPELLO, Alicante, España","Paraje de la Illeta S/N Local 14, Club Náutico Campello, 03560 EL CAMPELLO, Alicante, España",,,
10,PRADA YACHTS,"C/ Palangre, 1 Loc. 1",03590,ALTEA,Alicante,España,"C/ Palangre, 1 Loc. 1, 03590 ALTEA, Alicante, España","C/ Palangre, 1 Loc. 1, 03590 ALTEA, Alicante, España",,,
11,TORRENAUTIC CENTER S.L.,"Ronda Don Ricardo Lafuente Aguado, 2",03183,TORREVIEJA,Alicante,España,"Ronda Don Ricardo Lafuente Aguado, 2, 03183 TORREVIEJA, Alicante, España","Ronda Don Ricardo Lafuente Aguado, 2, 03183 TORREVIEJA, Alicante, España",,,
12,A.R.M. YACHTS & SERVICES,"Polígono Industrial Carboneras, C/ Los Rincones, 18",04140,CARBONERAS,Almería,España,"Polígono Industrial Carboneras, C/ Los Rincones, 18, 04140 CARBONERAS, Almería, España","Polígono Industrial Carboneras, C/ Los Rincones, 18, 04140 CARBONERAS, Almería, España",,,
13,"EMBARCACIONES HOBBY, S.L.","Puerto Pesquero, S/N",04002,ALMERÍA,Almería,España,"Puerto Pesquero, S/N, 04002 ALMERÍA, Almería, España","Puerto Pesquero, S/N, 04002 ALMERÍA, Almería, España",,,
14,"NÁUTICA NAYA / (NAUTICAL YACHT, S.L.)","Avda. Mare Nostrum, 191",04009,ALMERIA,Almería,España,"Avda. Mare Nostrum, 191, 04009 ALMERIA, Almería, España","Avda. Mare Nostrum, 191, 04009 ALMERIA, Almería, España",,,
15,NÁUTICA EL GOBERNADOR,"Gobernador, S/N",33315,VILLAVICIOSA,Asturias,España,"Gobernador, S/N, 33315 VILLAVICIOSA, Asturias, España","Gobernador, S/N, 33315 VILLAVICIOSA, Asturias, España",,,
16,MOTONÁUTICA GUILLÉN / (FRANCISCO ANTONIO GUILLEN PACHON),"Av. Presidente Juan Carlos Rodríguez Ibarra, 79",06200,ALMENDRAJO,Badajoz,España,"Av. Presidente Juan Carlos Rodríguez Ibarra, 79, 06200 ALMENDRAJO, Badajoz, España","Av. Presidente Juan Carlos Rodríguez Ibarra, 79, 06200 ALMENDRAJO, Badajoz, España",,,
17,NÁUTICA GUIMAR,"C/Creuers, 28",07500,MANACOR,Illes Balears,España,"C/Creuers, 28, 07500 MANACOR, Illes Balears, España","C/Creuers, 28, 07500 MANACOR, Illes Balears, España",,,
18,NÁUTICA MOREY / FOLGANÇA (500056),"Conradors, 53 Polig.Industrial",07141,MARRATXI,Illes Balears,España,"Conradors, 53 Polig.Industrial, 07141 MARRATXI, Illes Balears, España","Conradors, 53 Polig.Industrial, 07141 MARRATXI, Illes Balears, España",,,
19,ES VEDRA CHARTER,"Ctra. San Juan Km 1,8",07800,IBIZA,Illes Balears,España,"Ctra. San Juan Km 1,8, 07800 IBIZA, Illes Balears, España","Ctra. San Juan Km 1,8, 07800 IBIZA, Illes Balears, España",,,TIENDA:
20,MOTONÁUTICA IBIZA,"Ctra. Aeropuerto Km 3,5",07817,SANT JORDI DE SES SALINES,Illes Balears,España,"Ctra. Aeropuerto Km 3,5, 07817 SANT JORDI DE SES SALINES, Illes Balears, España","Ctra. Aeropuerto Km 3,5, 07817 SANT JORDI DE SES SALINES, Illes Balears, España",,,
21,"SUPERMERCADO NAUTICO, S.L.  / (VIAMAR)","Ctra.de San Juan Km1,3",07800,IBIZA,Illes Balears,España,"Ctra.de San Juan Km1,3, 07800 IBIZA, Illes Balears, España","Ctra.de San Juan Km1,3, 07800 IBIZA, Illes Balears, España",,,TIENDA (Supermercado Náutico):
22,CENTRE NÀUTIC CIUTADELLA,"Carrer Bijuters, 23 Pol. Ind.",07760,CIUTADELLA DE MENORCA,Illes Balears,España,"Carrer Bijuters, 23 Pol. Ind., 07760 CIUTADELLA DE MENORCA, Illes Balears, España","Carrer Bijuters, 23 Pol. Ind., 07760 CIUTADELLA DE MENORCA, Illes Balears, España",,,
23,NÀUTIC CENTER MENORCA,"S'Esperó, 16 Industrial Area",07714,MAHON,Illes Balears,España,"S'Esperó, 16 Industrial Area, 07714 MAHON, Illes Balears, España","S'Esperó, 16 Industrial Area, 07714 MAHON, Illes Balears, España",,,
24,BODHINAUTIC SL,"C/ Vidrieria, 6",08184,PALAU SOLITÀ I PLEGAMANS,Barcelona,España,"C/ Vidrieria, 6, 08184 PALAU SOLITÀ I PLEGAMANS, Barcelona, España","C/ Vidrieria, 6, 08184 PALAU SOLITÀ I PLEGAMANS, Barcelona, España",,,
25,DAMAR NÁUTICA,"VELÁZQUEZ,57 LES ROQUETES",08812,SANT PERE DE RIBES (BARCELONA),Barcelona,España,"VELÁZQUEZ,57 LES ROQUETES, 08812 SANT PERE DE RIBES (BARCELONA), Barcelona, España","VELÁZQUEZ,57 LES ROQUETES, 08812 SANT PERE DE RIBES (BARCELONA), Barcelona, España",,,Dirección Fiscal:
26,MAR NÀUTIC / (REPARACIONS ONNEA ),"Port Balis, local 6",08392,SANT ANDREU DE LLAVANERES,Barcelona,España,"Port Balis, local 6, 08392 SANT ANDREU DE LLAVANERES, Barcelona, España","Port Balis, local 6, 08392 SANT ANDREU DE LLAVANERES, Barcelona, España",,,
27,NÁUTICA CASTELLDEFELS,"Port Ginesta, Local 715 y 809",08860,CASTELLDEFELS,Barcelona,España,"Port Ginesta, Local 715 y 809, 08860 CASTELLDEFELS, Barcelona, España","Port Ginesta, Local 715 y 809, 08860 CASTELLDEFELS, Barcelona, España",,,
28,NÁUTICA SUNSET / NOVANÁUTICA,"C/ Centre, 56",08820,EL PRAT DE LLOBREGAT,Barcelona,España,"C/ Centre, 56, 08820 EL PRAT DE LLOBREGAT, Barcelona, España","C/ Centre, 56, 08820 EL PRAT DE LLOBREGAT, Barcelona, España",,,
